Rank,Name
1.1, Let Forever Be-The Chemical Brothers
1.2, Lemonade-Beyoncé
2.0, When Doves Cry-Prince
3.0, All is Full of Love-Björk
4.0, Thriller-Michael Jackson
5.0, Hurt-Johnny Cash
6.0, Life on Mars-David Bowie
7.0, Electrobank-The Chemical Brothers
8.0, Take On Me-A-Ha
9.0, Rabbit in Your HeadlightS-U.N.K.L.E. ft. Thom Yorke
10.0, Bohemian Rhapsody-Queen
11.0, Sugar Water-Cibo Matto
12.0, Sledgehammer-Peter Gabriel
13.0, Fell in Love with a Girl-The White Stripes
14.0, Drop-The Pharcyde
15.0, A Day in the Life-The Beatles
16.0, Like a Prayer-Madonna
17.0, Alright-Kendrick Lamar
18.0, Jazzin’ For Blue Jean-David Bowie
19.0, Karma Police-Radiohead
20.0, Two Weeks-FKA Twigs
21.0, Bad-Michael Jackson
22.0, Runaway-Kanye West
23.0, Nothing Compares 2 U-Sinéad O’Connor
24.0, Across the Universe-Fiona Apple
25.0, Single Ladies (Put a Ring on It)-Beyoncé
26.0, Hyperballad-Björk
27.0, Stan-Eminem
28.0, Virtual Insanity-Jamiroquai
29.0, No Surprises-Radiohead
30.0, Untitled (How Does It Feel)-D’Angelo
31.0, The Perfect Drug-Nine Inch Nails
32.0, Smooth Criminal-Michael Jackson
33.0, Daft Punk-Around the World
34.0, Frontier Psychiatrist-The Avalanches
35.0, Closer-Nine Inch Nails
36.0, Bachelorette-Björk
37.0, GUV’NOR-JJ DOOM
38.0, Pyramid Song-Radiohead
39.0, Weapon of Choice-Fatboy Slim
40.0, Rhythm Nation-Janet Jackson
41.0, Schism-Tool
42.0," Tonight, Tonight-Smashing Pumpkins"
43.0, Get Ur Freak On-Missy Elliott
44.0, Smells Like Teen Spirit-Nirvana
45.0, This is America-Childish Gambino
46.0, Sabotage-Beastie Boys
47.0, Billie Jean-Michael Jackson
48.0, Silent Shout-The Knife
49.0, Waterfalls-TLC
50.0, To Here Knows When-My Bloody Valentine
51.0, 99 Problems-Jay-Z
52.0, Every Single Night-Fiona Apple
53.0, Coffee & TV-Blur
54.0, All Caps-Madvillain
55.0, Come to Daddy-Aphex Twin
56.0, Da Mystery of Chessboxin’-Wu Tang Clan
57.0, Pagan Poetry-Björk
58.0, Private Life-Grace Jones
59.0, November Rain-Guns N’ Roses
60.0, All of the Lights-Kanye West
61.0, My Hero-Foo Fighters
62.0, Come Into my World-Kylie Minogue
63.0, Wuthering Heights-Kate Bush
64.0, Hey Ya!-Outkast
65.0, Express Yourself-Madonna
66.0, I Will Survive-Gloria Gaynor
67.0, Da Funk-Daft Punk
68.0, Nikes-Frank Ocean
69.0, Bittersweet Symphony-The Verve
70.0, L.E.S Artistes-Santigold
71.0, Libertine-Myléne Farmer
72.0, Dress-PJ Harvey
73.0," Yonkers-Tyler, the Creator"
74.0, Heart of Glass-Blondie
75.0, Good Morning-Kanye West
76.0, Never Gonna Catch Me-Flying Lotus and Kendrick Lamar
77.0, It’s Oh So Quiet-Björk
78.0, Straight Outta Compton-N.W.A.
79.0, Space Oddity-David Bowie
80.0, A Single Tear-Converge
81.0, Lullaby-The Cure
82.0, Hotline Bling-Drake
83.0, Love is the Drug-Grace Jones
84.0, Don’t Come Around Here No More-Tom Petty & the Heartbreakers
85.0, Scream-Michael Jackson and Janet Jackson
86.0, Tightrope-Janelle Monáe
87.0, Go With the Flow-Queens Of The Stone Age
88.0, Rain-Missy Elliott
89.0, Raspberry Beret-Prince
90.0, In Bloom-Nirvana
91.0, Once in a Lifetime-Talking Heads
92.0, Bad Romance-Lady Gaga
93.0, Six Days-DJ Shadow
94.0, Shock Me-Baroness
95.0, No Ordinary Love-Sade
96.0, Grief-Earl Sweatshirt
97.0, Debaser-Pixies
98.0, From Here to Eternity-Giorgio Moroder
99.0, California-Wax
100.0, Running Up That Hill-Kate Bush
